|activity_type|actor|actor_device_id|actor_displayname|actor_id|actor_objecttype|actor_system|actor_team|actor_url|added_date|change value1|criticality|derivedfrom|description|descriptor-tags|endtime|excerpt|excerpttagsurl|id|idverb|location|object_actor|object_address|object_datafields|object_descriptor-tags|object_descriptor_tags|object_displayname|object_id|object_object|object_objecttype|object_position|object_provider|object_published|object_title|object_url|object_verb|provenance_actor|provenance_relationship|provider_displayname|published|reason|reasonobject_object|starttime|status|subverb|system|system_id|tags|tagsurl|target_displayname|target_id|target_objecttype|target_url|time|timestamp|title|titleexcerpttagsurl|titleexcerpttagsurladded_date|url|value|value1|value1_type|value2|value2_type|value3|value3_type|value4|value4_type|value5|value5_type|value_type|verb
329||||Siemens Wind Turbine 11|http://example.org/windturbine_11|device|||||||||||||http://128.32.78.37:8080/activities/253ce662c27a48d5a4c24a3790cb40df|||||windSpeed||||||deviceRecord|||||http://russet.ischool.berkeley.edu:8081/tim_testdata/data_turbine11_all.csv|||||2015-01-06T15:04:55.000Z||||completed|strongWinds||||||||||Mon 6 Apr 2015 01:52:46 GMT +0|||||||||||||||||add
330||||Siemens Wind Turbine 11|http://example.org/windturbine_11|device|||||||||||||http://128.32.78.37:8080/activities/bb159d77d6a54c43b13c1021df35d246|||||windSpeed||||||deviceRecord|||||http://russet.ischool.berkeley.edu:8081/tim_testdata/data_turbine11_all.csv|||||2015-01-06T15:04:55.000Z||||completed|strongWinds||||||||||Mon 6 Apr 2015 01:52:48 GMT +0|||||||||||||||||add
331||||Siemens Wind Turbine 11|http://example.org/windturbine_11|device|||||||||||||http://128.32.78.37:8080/activities/7c85c58802304820b281625ef96eae6f|||||windSpeed||||||deviceRecord|||||http://russet.ischool.berkeley.edu:8081/tim_testdata/data_turbine11_all.csv|||||2015-01-06T15:04:55.000Z||||completed|strongWinds||||||||||Mon 6 Apr 2015 01:52:48 GMT +0|||||||||||||||||add
332||||Siemens Wind Turbine 11|http://example.org/windturbine_11|device|||||||||||||http://128.32.78.37:8080/activities/3e3501d0745743f18e59d0e347d0b25f|||||windSpeed||||||deviceRecord|||||http://russet.ischool.berkeley.edu:8081/tim_testdata/data_turbine11_all.csv|||||2015-01-06T15:04:55.000Z||||completed|strongWinds||||||||||Mon 6 Apr 2015 01:52:50 GMT +0|||||||||||||||||add
333||||Siemens Wind Turbine 11|http://example.org/windturbine_11|device|||||||||||||http://128.32.78.37:8080/activities/f3ed806b74334181a0f445805b4d65c2|||||windSpeed||||||deviceRecord|||||http://russet.ischool.berkeley.edu:8081/tim_testdata/data_turbine11_all.csv|||||2015-01-06T15:04:55.000Z||||completed|strongWinds||||||||||Mon 6 Apr 2015 01:52:51 GMT +0|||||||||||||||||add
334||||Siemens Wind Turbine 11|http://example.org/windturbine_11|device|||||||||||||http://128.32.78.37:8080/activities/d35cfdb6b5dd4762936d30696da4e6bf|||||windSpeed||||||deviceRecord|||||http://russet.ischool.berkeley.edu:8081/tim_testdata/data_turbine11_all.csv|||||2015-01-06T15:04:55.000Z||||completed|criticalCondition||||||||||Mon 6 Apr 2015 01:52:52 GMT +0|||||||||||||||||add
335||||Siemens Wind Turbine 11|http://example.org/windturbine_11|device|||||||||||||http://128.32.78.37:8080/activities/b2df82940fe04fe9b2292bab9e05ecb1|||||windSpeed||||||deviceRecord|||||http://russet.ischool.berkeley.edu:8081/tim_testdata/data_turbine11_all.csv|||||2015-01-06T15:04:55.000Z||||completed|strongWinds||||||||||Mon 6 Apr 2015 01:52:53 GMT +0|||||||||||||||||add
336||||Siemens Wind Turbine 11|http://example.org/windturbine_11|device|||||||||||||http://128.32.78.37:8080/activities/40ad77bc27cb4759aaf36aafb9bf641e|||||windSpeed||||||deviceRecord|||||http://russet.ischool.berkeley.edu:8081/tim_testdata/data_turbine11_all.csv|||||2015-01-06T15:04:55.000Z||||completed|strongWinds||||||||||Mon 6 Apr 2015 01:52:54 GMT +0|||||||||||||||||add
337||||Siemens Wind Turbine 11|http://example.org/windturbine_11|device|||||||||||||http://128.32.78.37:8080/activities/e19c4a8fac8447d7b0d67c5af69c9dbf|||||windSpeed||||||deviceRecord|||||http://russet.ischool.berkeley.edu:8081/tim_testdata/data_turbine11_all.csv|||||2015-01-06T15:04:55.000Z||||completed|strongWinds||||||||||Mon 6 Apr 2015 01:52:55 GMT +0|||||||||||||||||add
338||||Siemens Wind Turbine 11|http://example.org/windturbine_11|device|||||||||||||http://128.32.78.37:8080/activities/946fa36354f9409ea106f7b94b3eb827|||||windSpeed||||||deviceRecord|||||http://russet.ischool.berkeley.edu:8081/tim_testdata/data_turbine11_all.csv|||||2015-01-06T15:04:55.000Z||||completed|strongWinds||||||||||Mon 6 Apr 2015 01:52:56 GMT +0|||||||||||||||||add
339||||Siemens Wind Turbine 11|http://example.org/windturbine_11|device|||||||||||||http://128.32.78.37:8080/activities/5a87df1773d7404cb770e989772c1964|||||windSpeed||||||deviceRecord|||||http://russet.ischool.berkeley.edu:8081/tim_testdata/data_turbine11_all.csv|||||2015-01-06T15:04:55.000Z||||completed|strongWinds||||||||||Mon 6 Apr 2015 01:52:57 GMT +0|||||||||||||||||add
340||||Siemens Wind Turbine 11|http://example.org/windturbine_11|device|||||||||||||http://128.32.78.37:8080/activities/f20d70760a894dc79baaa3c433fe32f3|||||windSpeed||||||deviceRecord|||||http://russet.ischool.berkeley.edu:8081/tim_testdata/data_turbine11_all.csv|||||2015-01-06T15:04:55.000Z||||completed|strongWinds||||||||||Mon 6 Apr 2015 01:52:58 GMT +0|||||||||||||||||add
341||||Siemens Wind Turbine 11|http://example.org/windturbine_11|device|||||||||||||http://128.32.78.37:8080/activities/c1d2744fe3264e0d9b0fa4d31f91a0ed|||||windSpeed||||||deviceRecord|||||http://russet.ischool.berkeley.edu:8081/tim_testdata/data_turbine11_all.csv|||||2015-01-06T15:04:55.000Z||||completed|strongWinds||||||||||Mon 6 Apr 2015 01:52:59 GMT +0|||||||||||||||||add
