|activity_type|actor|actor_device_id|actor_displayname|actor_id|actor_objecttype|actor_system|actor_team|actor_url|added_date|change value1|criticality|derivedfrom|description|descriptor-tags|endtime|excerpt|excerpttagsurl|id|idverb|location|object_actor|object_address|object_datafields|object_descriptor-tags|object_descriptor_tags|object_displayname|object_id|object_object|object_objecttype|object_position|object_provider|object_published|object_title|object_url|object_verb|provenance_actor|provenance_relationship|provider_displayname|published|reason|reasonobject_object|starttime|status|subverb|system|system_id|tags|tagsurl|target_displayname|target_id|target_objecttype|target_url|time|timestamp|title|titleexcerpttagsurl|titleexcerpttagsurladded_date|url|value|value1|value1_type|value2|value2_type|value3|value3_type|value4|value4_type|value5|value5_type|value_type|verb
0|||||||||||||||||||||||||||||||||||||||||||||||||||||||Thu 5 Mar 2015 07:41:51 GMT +0|||||||||||||||||
1|||||||||||||||||||||||||||||||||||||||||||||||||||||||Thu 5 Mar 2015 21:31:33 GMT +0|||||||||||||||||
2|pocket|||||||||March 05, 2015 at 01:45PM|||||||Shortly after ten-thirty in the morning on Wednesday, March 19th, a real-estate agent named Paul Alarab began hiking across the Golden Gate Bridge.||||||||||||||||||||||||||||||||http://ift.tt/1tvXAto||||||Thu 5 Mar 2015 21:45:23 GMT +0|Jumpers||||||||||||||||
3|pocket|||||||||March 05, 2015 at 02:03PM|||||||||||||||||||||||||||||||||||||||http://www.cnn.com/||||||Thu 5 Mar 2015 22:09:44 GMT +0|Breaking News, U.S., World, Weather, Entertainment amp; Video News - CNN.comexcerpt=Watch Live TV Breaking News Please select your default edition:InternationalU.S.Mexico U.S.||||||||||||||||
4|3Dpocket|||||||||3DMarch 05, 2015 at 02:36PM|||||||3DA federal judge has ruled that cops need to get a warrant if they want to access a person=E2=80=99s past cellphone location data, in what digital rights activists call a big win for privacy.|||||||||||||||||||||||||||||||3D|||||||Thu 5 Mar 2015 22:41:24 GMT +0|3DCops Need Warrant to Get Cellphone Location Data, California Judge Rules|||3Dhttp://ift.tt/1Fg1j0S|||||||||||||
5|3Dpocket|||||||||3DMarch 05, 2015 at 02:37PM|||||||3DWASHINGTON, D.C.=C2=A0=E2=80=93 Today, U.S. Rep.|||||||||||||||||||||||||||||||3D|||||||Thu 5 Mar 2015 22:41:25 GMT +0|3DMcCaul Statement on DNI Report on Recidivism of Former GTMO Detainees|||3Dhttp://ift.tt/1NmtUXZ|||||||||||||
6|pocket|||||||||March 05, 2015 at 02:37PM|||||||There has been a 1 percent increase in the number of former Guantanamo detainees who have quot;returned to the fight= quot; since July, according to a new recidivism report released Wednesday by the Office of the Director of National Intelligence (ODNI).tagsurl=http://ift.tt/1zPZyD1||||||||||||||||||||||||||||||||||||||Thu 5 Mar 2015 22:41:27 GMT +0|More Former Gitmo Detainees 'Return to the Fight,' and More Are Killed By the US||||||||||||||||
7|pocket|||||||||March 05, 2015 at 02:38PM|||||||A suit of armour made from paper sounds about as useful as a chocolate teapot, but it all depends on how you build it. tagsurl=http://ift.tt/1NmtXmE||||||||||||||||||||||||||||||||||||||Thu 5 Mar 2015 22:41:28 GMT +0|Origami doughnut squashes up to protect what's inside||||||||||||||||
8|3Dpocket|||||||||3DMarch 05, 2015 at 02:39PM|||||||3DTORONTO =E2=80=94 The person responsible for Toronto's much-discussed mystery tunnel has finally come forward.|||||||||||||||||||||||||||||||3D|||||||Thu 5 Mar 2015 22:41:29 GMT +0|3DToronto tunnel digger reveals identity, confirms it was a man cave|||3Dhttp://ift.tt/1Fg1lpp|||||||||||||
9|3Dpocket|||||||||3DMarch 05, 2015 at 02:40PM|||||||3DThe State Department has had a policy in place since 2005 to warn officials against routine use of personal e-mail accounts for government work, a regulation in force during Hillary Clinton=E2=80=99s tenure as secretary of state that appears to be at odds with her reliance on a private ema|||||||||||||||||||||||||||||||3D|||||||Thu 5 Mar 2015 22:41:32 GMT +0|3DState Department had 'clear-cut' rule on email before Hillary Clinton took office|||3Dhttp://ift.tt/1NmtXTq|||||||||||||
10|pocket|||||||||March 05, 2015 at 05:44PM|||||||THE Web has given airline customers more convenience and more power. The ability to compare prices instantly at several airlines||||||||||||||||||||||||||||||||http://ift.tt/1Nm7Xbi||||||Fri 6 Mar 2015 01:44:58 GMT +0|So Many Airfares, So Much Data||||||||||||||||
11|pocket|||||||||March 05, 2015 at 09:55PM|||||||||||||||||||||||||||||||||||||||||||||Fri 6 Mar 2015 05:57:25 GMT +0||http://ift.tt/1G4L1YF|||||||||||||||
12|pocket|||||||||March 05, 2015 at 09:55PM|||||||NEWS ANALYSIS: Lockheed Martin's Skunk Works claims the ability to generate cheap energy from nuclear fusion with little waste or global warming is within its grasp.||||||||||||||||||||||||||||||||http://ift.tt/1AMVyTV||||||Fri 6 Mar 2015 05:57:27 GMT +0|Lockheed Martin Claims Sustainable Fusion Is Within Its Grasp||||||||||||||||
13|pocket|||||||||March 05, 2015 at 09:55PM|||||||Scores of U.S. lawmakers are converging on tiny Selma, Alabama, for a large commemoration of a civil rights anniversary. But their ranks don?t include a single member of House Republican leadership -- a point that isn?t lost on congressional black leaders.||||||||||||||||||||||||||||||||http://ift.tt/1DQINtu||||||Fri 6 Mar 2015 05:57:29 GMT +0|GOP leaders to skip Selma event||||||||||||||||
14|pocket|||||||||March 05, 2015 at 09:57PM|||||||The organ was found inside a decapitated skull at an Iron Age dig site near York in 2008. Tests on the remains suggested they were from the 6th Century BC, making them about 2,600 years old.||||||||||||||||||||||||||||||||http://ift.tt/1FW4w5L||||||Fri 6 Mar 2015 06:03:41 GMT +0|'Oldest human brain' may have been preserved by mud||||||||||||||||
15|pocket|||||||||March 05, 2015 at 10:07PM|||||||CNES has maintained an active balloon launch program for studies of upper-atmospheric air currents, the chemical composition of the atmosphere at specific altitudes and other purposes, launching as many as 20 balloons a month.||||||||||||||||||||||||||||||||http://ift.tt/1A2u1if||||||Fri 6 Mar 2015 06:08:52 GMT +0|CNES Partners with Google to deploy Global 100,000 Internet Loon Ballon Networks||||||||||||||||
16|pocket|||||||||March 05, 2015 at 10:11PM|||||||We've all moaned and groaned over flights cancelled due to weather.||||||||||||||||||||||||||||||||http://ift.tt/1MbNVPr||||||Fri 6 Mar 2015 06:14:06 GMT +0|The Crash of Delta 1086 Is Exactly Why Airlines Cancel Flights for Snow||||||||||||||||
17|pocket|||||||||March 06, 2015 at 01:43AM|||||||About a year ago we noted how Comcast has a weird tendency to prevent its broadband users from being able to use HBO Go on some fairly standard technology, including incredibly common Roku hardware.||||||||||||||||||||||||||||||||http://ift.tt/1w6R3bb||||||Fri 6 Mar 2015 09:48:27 GMT +0|Comcast Blocks HBO Go From Working On Playstation 4, Won't Coherently Explain Why||||||||||||||||
18|pocket|||||||||March 06, 2015 at 01:45AM|||||||When the security glitch first discovered on Monday, it was believed that the Windows system was immune to FREAK attacks.||||||||||||||||||||||||||||||||http://ift.tt/1DZEJda||||||Fri 6 Mar 2015 09:48:28 GMT +0|Microsoft: All Windows versions Vulnerable to FREAK Vulnerability||||||||||||||||
19|pocket|||||||||March 06, 2015 at 01:45AM|||||||U.S. National Security Agency whistleblower Edward Snowden says Canada has one of the quot;weakest oversight= quot; frameworks for intelligence gathering in the Western world.tagsurl=http://ift.tt/1GUt3t9||||||||||||||||||||||||||||||||||||||Fri 6 Mar 2015 09:48:29 GMT +0|Edward Snowden says Canadian spying has weakest oversight in Western world||||||||||||||||
20|pocket|||||||||March 06, 2015 at 01:46AM|||||||With Tableau version 9 now in beta and due for release in the not-too-distant future, there?s a lot of buzz in the Tableau community about all the new headline feature enhancements, and there are quite a few to shout about! New features like parallel processing are set to deliver massive perform||||||||||||||||||||||||||||||||http://ift.tt/1F00mtk||||||Fri 6 Mar 2015 09:48:31 GMT +0|10 new features in Tableau v9 you may not know about||||||||||||||||
21|pocket|||||||||March 06, 2015 at 01:51AM|||||||I have built a pocket size device the copy a new metro/subway magnetic ticket to be used forever.        This should work fine with all the countries that still use the magnetic strip tickets .||||||||||||||||||||||||||||||||http://ift.tt/18TTq7i||||||Fri 6 Mar 2015 09:54:05 GMT +0|The Ticketizer!||||||||||||||||
22|pocket|||||||||March 06, 2015 at 01:54AM|||||||Firaxis was too concerned about alienating players of previous titles in the Civilization series when creating the most recent, science-fiction themed entry, Beyond Earth, the game's lead designers said during an open and honest retrospective on the PC game at GDC 2015 in San Francisco today.||||||||||||||||||||||||||||||||http://ift.tt/1DZ7tm8||||||Fri 6 Mar 2015 09:59:43 GMT +0|'We should have been more audacious' - A Civilization: Beyond Earth retrospective||||||||||||||||
23|pocket|||||||||March 06, 2015 at 01:57AM|||||||Tired of fretting about government shutdowns? Budget lapses would be a thing of the past under a new proposal from a House Democrat who wants to put an end to them for good. Rep. Alan Grayson (D-Fla.||||||||||||||||||||||||||||||||http://ift.tt/1Fd24aU||||||Fri 6 Mar 2015 09:59:43 GMT +0|Tired of shutdown battles? This bill would end them for good.||||||||||||||||
24|pocket|||||||||March 06, 2015 at 02:09AM|||||||Matt WeinbergerMicrosoft's Xbox boss admitted quot;we've lost our way= quot; on PC gaming, but the company wants another chance.tagsurl=http://ift.tt/1wZUDPG||||||||||||||||||||||||||||||||||||||Fri 6 Mar 2015 10:11:21 GMT +0|Microsoft admits 'we've lost our way' on PC games||||||||||||||||
25|pocket|||||||||March 06, 2015 at 02:14AM|||||||||||||||||||||||||||||||||||||||||||||Fri 6 Mar 2015 10:17:17 GMT +0||http://ift.tt/1BcZ8KP|||||||||||||||
26|pocket|||||||||March 06, 2015 at 08:35AM|||||||New Jersey Gov. Chris Christie (R) is going back to the payday lender, selling out future taxpayers to fix a cash crunch of his own design. Here?s the background.||||||||||||||||||||||||||||||||http://ift.tt/1BdleNd||||||Fri 6 Mar 2015 16:47:34 GMT +0|Chris Christie sells out New Jersey taxpayers||||||||||||||||
27|pocket|||||||||March 06, 2015 at 08:40AM|||||||(Update March 5: A few graphs have seen minor adjustments--2013 release Call of Duty: Ghosts was removed from the quot;most played= quot; graph, and free-to-play title Dead Island: Epidemic was removed from the pay-to-own graph.tagsurl=http://ift.tt/1KmeK5T||||||||||||||||||||||||||||||||||||||Fri 6 Mar 2015 16:47:36 GMT +0|Steam Gauge: Measuring the most popular Steam games of 2014||||||||||||||||
28|pocket|||||||||March 06, 2015 at 10:28AM|||||||<<Comment c,a va ma petite?>>, <<ma jolie>>: qu?il passe par un humour graveleux, des attaques plus frontales ou une forme de paternalisme ne'faste, le sexisme reste bien ancre' dans le monde du travail, un phe'nome`ne qui n?est pas sans conse'quence sur la carrie`re des femmes.||||||||||||||||||||||||||||||||http://ift.tt/1AOAXib||||||Fri 6 Mar 2015 18:54:13 GMT +0|<<Ma petite>>, <<ma jolie>>: le sexisme toujours bien ancre' au travail||||||||||||||||
29|pocket|||||||||March 06, 2015 at 10:29AM|||||||It is easy to see why the Oscar-nominated film Virunga has received such widespread acclaim.||||||||||||||||||||||||||||||||http://ift.tt/1wJK5JP||||||Fri 6 Mar 2015 18:54:14 GMT +0|Virunga's White Savior Complex||||||||||||||||
30|pocket|||||||||March 06, 2015 at 10:45AM|||||||Blake Jamieson is trying to digitally play his way into women?s hearts, and it might actually be working. The aspiring content marketer applied a little branding to his profile on Tinder, the hot-or-not-style dating app, and said he's now matched with more than 2,000 women.||||||||||||||||||||||||||||||||http://ift.tt/1eS9ORP||||||Fri 6 Mar 2015 18:54:15 GMT +0|How One Guy Wooed 2,000 Women on Tinder||||||||||||||||
31|pocket|||||||||March 06, 2015 at 10:49AM|||||||The power of an activist documentary to change the world is astonishing. Even though it wasn?t nominated, Blackfish has brought awareness to the plight of orcas in captivity.||||||||||||||||||||||||||||||||http://ift.tt/16LbLBW||||||Fri 6 Mar 2015 18:54:16 GMT +0|Virunga Prompts Church of England and Others to Divest in Mining Firm over Endangered Gorillas||||||||||||||||
32|pocket|||||||||March 06, 2015 at 10:49AM|||||||Following the Oscar-nominated success of wildlife documentary Virunga, Leonardo DiCaprio is set to produce further environmental films in a multi-year partnership with Netflix.||||||||||||||||||||||||||||||||http://ift.tt/1aMs57C||||||Fri 6 Mar 2015 18:54:18 GMT +0|Leonardo DiCaprio to make more nature docs with Netflix after Virunga success||||||||||||||||
33|pocket|||||||||March 06, 2015 at 10:50AM|||||||In the past few weeks, the Oscar-nominated documentary ?Virunga? has received some high-profile support.||||||||||||||||||||||||||||||||http://ift.tt/1IWn2kg||||||Fri 6 Mar 2015 18:54:19 GMT +0|Oscar Nominee ?Virunga? Receives Support from Clintons, Church of England||||||||||||||||
34|pocket|||||||||March 06, 2015 at 10:55AM|||||||It was supposed to be a story of hope. At least that's what Orlando von Einsiedel thought when he arrived in Virunga National Park to make a documentary about adorable mountain gorillas and brave park rangers.||||||||||||||||||||||||||||||||http://ift.tt/1EzOxKe||||||Fri 6 Mar 2015 19:32:03 GMT +0|Oscar hopeful 'Virunga' is ammo against Big Oil for battered park lovers||||||||||||||||
35|pocket|||||||||March 06, 2015 at 10:56AM|||||||The Internet is taking a stand: no one should ever be shamed for trying to have a good time. In February, a user on 4chan posted about their encounter with a man at a concert, who was ridiculed for dancing and quickly stopped when he noticed people were laughing at him.||||||||||||||||||||||||||||||||http://ift.tt/1H7WxUr||||||Fri 6 Mar 2015 19:32:05 GMT +0|Thousands of women are throwing a guy a dance party after he was body shamed||||||||||||||||
36|pocket|||||||||March 06, 2015 at 11:21AM|||||||I qualified that claim by noting that a tag cannot be read on a can in the middle of a pallet of canned goods, or on a case in the center of a pallet of bottled water. The energy just can't reach the pallet's center. The metal reflects the energy away from the tag, and the water absorbs the energy.||||||||||||||||||||||||||||||||http://ift.tt/1BPitUe||||||Fri 6 Mar 2015 19:32:06 GMT +0|About That Problem With Metal and Water||||||||||||||||
37|pocket|||||||||March 06, 2015 at 11:22AM|||||||--Not long ago, the use of passive ultrahigh-frequency (UHF) RFID tags was said to be problematic in proximity to metal, since UHF radio waves bounce off metallic objects.||||||||||||||||||||||||||||||||http://ift.tt/1H7WzLQ||||||Fri 6 Mar 2015 19:32:07 GMT +0|RFID License Plates: A Successful In-Metal RFID Application||||||||||||||||
38|pocket|||||||||March 06, 2015 at 12:47PM|||||||Washington (CNN)The Justice Department is preparing to bring criminal corruption charges against New Jersey Sen. Robert Menendez, a Democrat, alleging he used his Senate office to push the business interests of a Democratic donor and friend in exchange for gifts.||||||||||||||||||||||||||||||||http://ift.tt/1G7sSJU||||||Fri 6 Mar 2015 20:50:26 GMT +0|First on CNN: Feds prepare criminal corruption charges against Senator Bob Menendez||||||||||||||||
39|pocket|||||||||March 06, 2015 at 01:29PM|||||||NASA?s Dawn spacecraft entered orbit around the asteroid Ceres on Friday morning at an altitude of just under 38,000 miles. Currently, the spacecraft is above the night side of Ceres, limiting the amount of information that can be gathered.||||||||||||||||||||||||||||||||http://ift.tt/1BbVAJX||||||Fri 6 Mar 2015 21:42:36 GMT +0|NASA?s Dawn Probe Begins Orbiting Dwarf Planet Ceres||||||||||||||||
40|pocket|||||||||March 06, 2015 at 01:36PM|||||||LOS ANGELES -- It seemed like routine business for the student council at the University of California, Los Angeles: confirming the nomination of Rachel Beyda, a second-year economics major who wants to be a lawyer someday, to the council?s Judicial Board. Until it came time for questions.||||||||||||||||||||||||||||||||http://ift.tt/1H5X754||||||Fri 6 Mar 2015 21:42:37 GMT +0|In U.C.L.A. Debate Over Jewish Student, Echoes on Campus of Old Biases||||||||||||||||
41|pocket|||||||||March 06, 2015 at 02:27PM|||||||In a dispatch on King v. Burwell, the closely watched Obamacare challenge, NPR?s Nina Totenberg observed that the plaintiffs? attorney, Michael Carvin, argued before the Supreme Court with ?red-faced passion.||||||||||||||||||||||||||||||||http://ift.tt/18o8XuM||||||Fri 6 Mar 2015 22:32:29 GMT +0|Sotomayor May Have Saved Obamacare||||||||||||||||
42|pocket|||||||||March 06, 2015 at 02:35PM|||||||On Tuesday, Justice Anthony Kennedy blew a gaping hole in the latest Supreme Court case against Obamacare -- but perhaps not quite in the way he, or most observers, thinks.||||||||||||||||||||||||||||||||http://ift.tt/1BOiCaj||||||Fri 6 Mar 2015 22:48:41 GMT +0|Justice Kennedy nailed what?s so bizarre about the case against Obamacare||||||||||||||||
43|pocket|||||||||March 06, 2015 at 02:38PM|||||||In what they are calling a major milestone, researchers in the John Martinis Lab at UC Santa Barbara have developed quantum circuitry that self-checks for errors and suppresses them -- preserving the qubits? state(s) and imbuing the system with reliability that is foundational for building pow||||||||||||||||||||||||||||||||http://ift.tt/1H3p4uh||||||Fri 6 Mar 2015 22:48:43 GMT +0|A quantum device that detects and corrects its own errors||||||||||||||||
44|pocket|||||||||March 06, 2015 at 02:42PM|||||||A Republican state Senator warns LGBT people - but no one else - that they shouldn't have an expectation of being treated equally or fairly in his conservative state.||||||||||||||||||||||||||||||||http://ift.tt/1KuLRET||||||Fri 6 Mar 2015 22:48:44 GMT +0|'They Don?t Have A Right To Be Served In Every Store' Says GOP Lawmaker About Gay People||||||||||||||||
45|pocket|||||||||March 06, 2015 at 04:14PM|||||||Texas? A amp;M\[CloseCurlyQuote]s Cushing Memorial Library and Archives has been George R.R. Martin\[CloseCurlyQuote]s place of choice for depositing of all written work since 1993. Since then, most of his work has been donated to the library for safe keeping.tagsurl=http://ift.tt/1G65L2d||||||||||||||||||||||||||||||||||||||Sat 7 Mar 2015 00:26:23 GMT +0|George RR Martin donates Hobbit first edition to Texas university ~ Variety Reports||||||||||||||||
46|pocket|||||||||March 06, 2015 at 04:14PM|||||||American males enter adulthood through a peculiar rite of passage - they spend most of their savings on a shiny piece of rock. They could invest the money in assets that will compound over time and someday provide a nest egg.||||||||||||||||||||||||||||||||http://ift.tt/1Fk9bP0||||||Sat 7 Mar 2015 00:26:24 GMT +0|Diamonds Are Bullshit||||||||||||||||
47|pocket|||||||||March 06, 2015 at 04:40PM|||||||This week, McDonald's pledged to phase out serving chicken raised on antibiotics that can also be used to treat humans. To understand the giant implications this has for the meat industry, consider my colleague Tom Philpott's previous reporting on the topic.||||||||||||||||||||||||||||||||http://ift.tt/18mO2IM||||||Sat 7 Mar 2015 00:43:09 GMT +0|McDonald's Just Banned Antibiotic-Laced Chicken. Here's Why That Matters.||||||||||||||||
48|pocket|||||||||March 06, 2015 at 04:45PM|||||||House Speaker John Boehner?s annoyance with President Barack Obama is turning into a grudge match against the Constitution. Boehner?s decision to invite a foreign head of government to address Congress without first consulting the sitting president has no precedent in American history.||||||||||||||||||||||||||||||||http://ift.tt/1BvNFHT||||||Sat 7 Mar 2015 00:58:41 GMT +0|Why Boehner?s invite to Netanyahu is unconstitutional||||||||||||||||
49|pocket|||||||||March 06, 2015 at 04:47PM|||||||A team of scientists led by renowned French marine archaeologist Franck Goddio recently announced that they have found a bowl, dating to between the late 2nd century B.C. and the early 1st century A.D., that is engraved with what they believe could be the world's first known reference to Christ.||||||||||||||||||||||||||||||||http://ift.tt/1G8NPnB||||||Sat 7 Mar 2015 00:58:43 GMT +0|Earliest reference describes Christ as 'magician'||||||||||||||||
50|pocket|||||||||March 06, 2015 at 04:47PM|||||||Most mammals, humans included, writhe in pain in response to a venomous sting from the bark scorpion. Not so the grasshopper mouse. The scorpion?s desert-dwelling cohabitant seems unperturbed by multiple stings and actually preys on the scorpions.||||||||||||||||||||||||||||||||http://ift.tt/1BbcDM4||||||Sat 7 Mar 2015 00:58:44 GMT +0|Scorpion Toxin Blocks Nav1.8 Channel, Pain in Grasshopper Mouse||||||||||||||||
51|pocket|||||||||March 06, 2015 at 04:49PM|||||||Everyone feels something when they?re in a really good starry place on a really good starry night and they look up and see this: Some people stick with the traditional, feeling struck by the epic beauty or blown away by the insane scale of the universe.||||||||||||||||||||||||||||||||http://ift.tt/1sYcxQ5||||||Sat 7 Mar 2015 00:58:46 GMT +0|The Fermi Paradox||||||||||||||||
52|pocket|||||||||March 07, 2015 at 08:52AM|||||||A pair of protesters who came all the way from New Jersey to Des Moines, Iowa to lodge a protest against their state's governor, Chris Christie, were thrown out of Saturday's Iowa Ag Summit after they yelled that Christie hadn't done enough to help victims of Hurricane Sandy.||||||||||||||||||||||||||||||||http://ift.tt/1wdTc4U||||||Sat 7 Mar 2015 16:56:09 GMT +0|Chris Christie interrupted during Iowa appearance by New Jersey hecklers who traveled 1,000 miles to confront him about Hurricane Sandy relief||||||||||||||||
53|pocket|||||||||March 07, 2015 at 08:52AM|||||||Who bears ultimate responsibility for the US torture program? The report by the Senate Select Committee on Intelligence, released in December, told us much about how the program was implemented and carried out: it was fundamentally ill-conceived, poorly managed, and led to grievous abuses of||||||||||||||||||||||||||||||||http://ift.tt/18V5Eg4||||||Sat 7 Mar 2015 16:56:10 GMT +0|Torture: No One Said No||||||||||||||||
54|pocket|||||||||March 07, 2015 at 08:56AM|||||||What are we doing talking about a 100% American brand like Pepsi in a blog about Russian history and culture? We are going to discover one of those stories that seem to be taken from a spy movie.||||||||||||||||||||||||||||||||http://ift.tt/1wdvpCh||||||Sat 7 Mar 2015 17:12:53 GMT +0|The day Pepsi became a great military power||||||||||||||||
55|pocket|||||||||March 07, 2015 at 08:57AM|||||||Washington (CNN)Calling state bans on same-sex marriage quot;incompatible with the Constitution,= quot; the Obama administration Friday filed a brief at the U.S. Supreme Court in support of couples who are making challenges in Kentucky, Michigan, Ohio and Tennessee.tagsurl=http://ift.tt/1BRyV6n||||||||||||||||||||||||||||||||||||||Sat 7 Mar 2015 17:12:54 GMT +0|Obama administration formally supports nationwide gay marriage||||||||||||||||
56|pocket|||||||||March 07, 2015 at 08:57AM|||||||The International Space Station was launched in November 1998, fifteen years ago. Here are some great photos inside and outside the largest artificial body in Earth's orbit.||||||||||||||||||||||||||||||||http://ift.tt/1wWLVBF||||||Sat 7 Mar 2015 17:12:56 GMT +0|NASA?s chief confirms it: Without Russia, space station lost||||||||||||||||
57|pocket|||||||||March 07, 2015 at 08:58AM|||||||BEIJING (AFP) - A hard-hitting video investigation into China's grave air pollution problem has been pulled from mainstream video sites, days after it garnered more than 100 million hits online.||||||||||||||||||||||||||||||||http://ift.tt/1wNWPPP||||||Sat 7 Mar 2015 17:12:58 GMT +0|Smog documentary blocked by China after becoming viral hit||||||||||||||||
58|pocket|||||||||March 07, 2015 at 08:58AM|||||||How Does It Work? First, Share Your Location when prompted by the browser, or you can manually enter a city/state or zip code. Next, click a Category or type your own search. We scan the hours of operation listings and filter them for open places.||||||||||||||||||||||||||||||||http://www.hoursof.com/||||||Sat 7 Mar 2015 17:12:59 GMT +0|What Is Open Today Near Me - HoursOf.com||||||||||||||||
59|pocket|||||||||March 07, 2015 at 09:01AM|||||||Glenn Greenwald has told the audience at the Meg conference in Gothenburg, Sweden, that the overreach of surveillance services is as much a failure of quot;corporatised= quot; media organisations as a failure of government oversight.tagsurl=http://ift.tt/1Empyxk||||||||||||||||||||||||||||||||||||||Sat 7 Mar 2015 17:13:01 GMT +0|Greenwald: Snowden story is as much about journalism as surveillance||||||||||||||||
60|pocket|||||||||March 07, 2015 at 09:02AM|||||||The Washington Redskins is a name that is offensive and perpetuates racism against Native Americans. Should it be changed? Yes.||||||||||||||||||||||||||||||||http://ift.tt/1BOXh0r||||||Sat 7 Mar 2015 17:13:03 GMT +0|'You?re Not Wrong, You're Just an A**hole'||||||||||||||||
61|pocket|||||||||March 07, 2015 at 09:02AM|||||||If you suffer a permanent injury on the job, you?re typically entitled to compensation for the damage to your body and your future lost wages. But depending on the state, benefits for the same body part can differ dramatically.||||||||||||||||||||||||||||||||http://ift.tt/1zWapLK||||||Sat 7 Mar 2015 17:13:04 GMT +0|Workers? Compensation Benefits||||||||||||||||
62|pocket|||||||||March 08, 2015 at 01:40AM|||||||?IT?S all to do with their brains and bodies and chemicals,? says Sir Anthony Seldon, the master of Wellington College, a posh English boarding school.||||||||||||||||||||||||||||||||http://ift.tt/1FdvUfk||||||Sun 8 Mar 2015 09:41:37 GMT +0|Gender, education and work||||||||||||||||
63|pocket|||||||||March 08, 2015 at 04:14PM|||||||Female Muslim TV hosts are beginning to make a delicious habit of their uppity insolence. Last month we enjoyed the spectacle of a Saudi TV host losing her composure and laughing in a male guest?s face when he proposed something absurdly sexist and offensive.||||||||||||||||||||||||||||||||http://ift.tt/1KBHBmQ||||||Sun 8 Mar 2015 23:20:04 GMT +0|Another Female Interviewer on a Muslim News Show Dares Defy a Male Guest||||||||||||||||
64|pocket|||||||||March 08, 2015 at 04:20PM|||||||Two tourists from California were arrested in the Italian capital, Rome, on Saturday for allegedly engraving their initials into the ancient Colosseum and posing for a selfie, Italian media reported.||||||||||||||||||||||||||||||||http://ift.tt/1aVfwHh||||||Sun 8 Mar 2015 23:32:18 GMT +0|U.S. Tourists Arrested For Carving Their Names Into Rome?s Colosseum||||||||||||||||
65|pocket|||||||||March 08, 2015 at 04:27PM|||||||||||||||||||||||||||||||||||||||http://ift.tt/1x2cchV||||||Sun 8 Mar 2015 23:32:19 GMT +0|UC Berkeley team unveils quot;Bloom= quot; 3D-printed cement structureexcerpt=University of California, Berkeley||||||||||||||||
66|pocket|||||||||March 08, 2015 at 04:30PM|||||||C'est un touche'-coule' virtuel dont la Marine franc,aise parle peu. Le sous-marin nucle'aire d?attaque (SNA) Saphir e'tait engage' mi-fe'vrier dans l'Atlantique Nord afin d'entrai^ner un groupe ae'ronaval ame'ricain pre`s des co^tes de la Floride.||||||||||||||||||||||||||||||||http://ift.tt/1Eudicy||||||Sun 8 Mar 2015 23:32:21 GMT +0|Le sous-marin franc,ais <<Saphir>> coule un porte-avions ame'ricain||||||||||||||||
67|pocket|||||||||March 08, 2015 at 04:35PM|||||||The state of Florida is the region most susceptible to the effects of global warming in this country, according to scientists. Sea-level rise alone threatens 30 percent of the state?s beaches over the next 85 years.||||||||||||||||||||||||||||||||http://ift.tt/1KGhMlD||||||Sun 8 Mar 2015 23:48:34 GMT +0|In Florida, Officials Ban Term ?Climate Change?||||||||||||||||
68|pocket|||||||||March 08, 2015 at 04:39PM|||||||When Bill Clinton ran for president in 1992, he made his campaign announcement on the almost unimaginably late date of 3 October 1991.||||||||||||||||||||||||||||||||http://ift.tt/1DWWE1D||||||Sun 8 Mar 2015 23:48:36 GMT +0|Hillary Clinton in pole position for US presidency as Republicans veer off course||||||||||||||||
69|pocket|||||||||March 08, 2015 at 09:28PM|||||||The site is constantly searching for itself in Google, over and over and over, 24 hours a day. The instant it finds itself in Google search results, the site will instantaneously and irrevocably securely delete itself.||||||||||||||||||||||||||||||||http://ift.tt/1GvnW5g||||||Mon 9 Mar 2015 04:43:51 GMT +0|mroth/unindexed||||||||||||||||
70|pocket|||||||||March 09, 2015 at 06:41AM|||||||NEW DELHI -- The house once occupied by India?s most notorious rapists is now sealed with a heavy padlock, at the end of a cul-de-sac smelling of musty abandonment.||||||||||||||||||||||||||||||||http://ift.tt/1FxdF4L||||||Mon 9 Mar 2015 13:59:53 GMT +0|In Indian Rapists? Neighborhood, Smoldering Anger and Code of Silence||||||||||||||||
71|pocket|||||||||March 09, 2015 at 06:41AM|||||||A group of 47 Republican senators has written an open letter to Iran's leaders warning them that any nuclear deal they sign with President Barack Obama's administration won?t last after Obama leaves office.||||||||||||||||||||||||||||||||http://ift.tt/1Bn79wI||||||Mon 9 Mar 2015 13:59:54 GMT +0|Republicans Warn Iran -- and Obama -- That Deal Won't Last||||||||||||||||
72|pocket|||||||||March 09, 2015 at 06:42AM|||||||He's been a U.S. senator for 12 years, and was a Congressman for eight more before that, but South Carolina Republican Lindsey Graham says he has never sent an email. Graham's surprising answer: quot;I don't email. No, you can have every email I've ever sent. I've never sent one.= quot;tagsurl=http://ift.tt/1A4ZVty||||||||||||||||||||||||||||||||||||||Mon 9 Mar 2015 13:59:55 GMT +0|Lindsey Graham: I've Never Sent an Email||||||||||||||||
